category,yes,no,point
Implementation,You have provided your README file and your implementation is accessisible ,You did not provide a README file but your implementation is not accessisible ,5
Implementation,You have provided a READ ONLY link to overleaf for your project report.,You did not provide a READ ONLY link to overleaf for your project report.,5
Hypothesis,You have included hypothesis/hypotheses,We wanted to see hypothesis/hypotheses. You did not include any hypothesis/hypotheses in your report. ,4
Hypothesis,You have justified the need for your hypothesis.,We wanted to see why the hypothesis/hypotheses needed. You could have explained how the hypothesis/hypotheses provides some insight on the results and discussions. ,2
NN Weight Optimization-1,You have explained why you got this result. ,You did not explained why you got this result.,3
NN Weight Optimization-1,You have included the hyperparameters and their impact on algorithmic behavior as well as hypothesize about improvements.,We want to see more on your analysis of hyperparameters and hypothesize about improvements.,4
NN Weight Optimization-1,Nice comparison based on performance and time for backprop vs RO as well as explained the reason why backprop or RO performed better.,You need to compares performance and time for backprop vs RO and explains why backprop or RO performed better.,2
NN Weight Optimization-2,You have explained why you got this result. ,You did not explained why you got this result.,3
NN Weight Optimization-2,You have included the hyperparameters and their impact on algorithmic behavior as well as hypothesize about improvements.,We want to see more on your analysis of hyperparameters and hypothesize about improvements.,4
NN Weight Optimization-2,Nice comparison based on performance and time for backprop vs RO as well as explained the reason why backprop or RO performed better.,You need to compares performance and time for backprop vs RO and explains why backprop or RO performed better.,2
NN Weight Optimization-3,You have explained why you got this result. ,You did not explained why you got this result.,3
NN Weight Optimization-3,You have included the hyperparameters and their impact on algorithmic behavior as well as hypothesize about improvements.,We want to see more on your analysis of hyperparameters and hypothesize about improvements.,4
NN Weight Optimization-3,Nice comparison based on performance and time for backprop vs RO as well as explained the reason why backprop or RO performed better.,You need to compares performance and time for backprop vs RO and explains why backprop or RO performed better.,2
Discrete Optimization Problems-First,You have explained why the problems are interesting from an ML prespective.,You need to explain why the problems are interesting from an ML prespective.,3
Discrete Optimization Problems-First,"You explained results in context by connecting back to 3 algorithm, hyperparameters, and problem selection.","You need to explain results in context by connecting back to 3 algorithm, hyperparameters, and problem selection.",6
Discrete Optimization Problems-First,You did explain performance vs. iterations based on plot/table.,You did not provide plot/table to show performance vs. iterations results.,3
Discrete Optimization Problems-First,You did explain performance vs. size of problem based on plot/table.,You did not provide plot/table to show performance vs. size of problem results.,3
Discrete Optimization Problems-First,Nice explanation on the convergence criterion and behavior.,You will need to include the convergence criterion and behavior.,3
Discrete Optimization Problems-First,"Nice addition on the improvements, such as extensive hyperparameter exploration, modifying algorithm behavior, adding domain knowledge, etc.","No evidence of the improvements, such as extensive hyperparameter exploration, modifying algorithm behavior, adding domain knowledge, etc.",3
Discrete Optimization Problems-First,This report shows creativity. ,This report lacked creativity. ,4
Discrete Optimization Problems-Second,You have explained why the problems are interesting from an ML prespective.,You need to explain why the problems are interesting from an ML prespective.,3
Discrete Optimization Problems-Second,"You explained results in context by connecting back to 3 algorithm, hyperparameters, and problem selection.","You need to explain results in context by connecting back to 3 algorithm, hyperparameters, and problem selection.",6
Discrete Optimization Problems-Second,You did explain performance vs. iterations based on plot/table.,You did not provide plot/table to show performance vs. iterations results.,3
Discrete Optimization Problems-Second,You did explain performance vs. size of problem based on plot/table.,You did not provide plot/table to show performance vs. size of problem results.,3
Discrete Optimization Problems-Second,Nice explanation on the convergence criterion and behavior.,You will need to include the convergence criterion and behavior.,3
Discrete Optimization Problems-Second,"Nice addition on the improvements, such as extensive hyperparameter exploration, modifying algorithm behavior, adding domain knowledge, etc.","No evidence of the improvements, such as extensive hyperparameter exploration, modifying algorithm behavior, adding domain knowledge, etc.",3
Discrete Optimization Problems-Second,This report shows creativity. ,This report lacked creativity. ,4
Conclusion,"You concluded to show which algorithm performed best, and why. Also, you included wall clock times, trade-offs, discussion of no free lunch theorem, etc.","You did not concluded which algorithm performed best, and why. Also, you included wall clock times, trade-offs, discussion of no free lunch theorem, etc.",3
Formatting,"Images are formatting properly and legible. Also, you provided proper references.","Images are not formatting properly and legible. Also, you did not provide proper references.",4
,,,
,,,
,,,
,,,100
